2017-02-10 17:13:30,559 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-10 17:13:30,561 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 17:13:30,568 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DemoProject\ShoppingCart\src\test\resources
2017-02-10 17:14:19,712 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 17:14:19,772 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-10 17:14:19,773 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 17:14:19,782 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DemoProject\ShoppingCart\src\test\resources
2017-02-10 17:15:41,056 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 17:15:41,104 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-10 17:15:41,107 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 17:15:41,120 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DemoProject\ShoppingCart\src\test\resources
2017-02-10 17:26:33,197 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 17:26:33,254 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-10 17:26:33,256 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 17:26:33,266 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DemoProject\ShoppingCart\src\test\resources
2017-02-10 17:27:10,502 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 17:27:10,538 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-10 17:27:10,542 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-10 17:27:10,557 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DemoProject\ShoppingCart\src\test\resources
